Book Title,Description,Author,Category /Shelf Code,Volume,Language,Old Shelf Code,OLD Acc No,Publisher,Year of Publication,NEW SHELF CODE,CHECKED,BOOK ID,ISBN,
Atma Bodha,Devotional literature,Swami Chimmayananda,Advaita,,English,F4,2333,"The Chinmaya Publications Trust, Madras",1977,ADV-SwC,,1037,,
Atma Bodha,Adi Shankaracharya,Swami Chinmayananda,Advaita,,English,na,3400,"Central Chinmaya Mission Trust, Bombay",1993,ADV- ADI,,1038,,
Atma Bodha,,Swami Chinmayananda,Advaita,,English,,3420,"Chinmaya Publications Trust, Madras",1975,ADV- ADI,,1039,,
Atma Bodham Para Puja,Sri Shankara Bhagvathpadavirachitam,Poluri Hanumajanakiramashrma,Advaita,,Telugu,NA,1149,Vasavi Printar Veluru,1980,ADV- PHS,,1040,,
Atma Gynanamu,NIL,Sardar Bahadur Maharaj Jagat Singh JI,Advaita,,Telugu ,NA,NIL,"Sewan Singh, Radha Soami Satsanga, Punjab",2004,ADV- JSJ,,1041,,
Atma Sakshatkaar Sastram,The Science of Realization,Sri.B. Srinvasacharyulu,Advaita,,Telugu,E4,2825 (2nd Copy),"Bhakti Vedanta Book Trust, Hyderabad",NA,ADV- BS,,1042,,
Atma Sakshatkaar Sastram,The Science of Realization,Sri.B. Srinvasacharyulu,Advaita,,Telugu,E4,3645(3rd Copy),"Bhakti Vedanta Book Trust, Hyderabad",NA,ADV- BS,,1043,,
Atma Sakshatkaar Sastram,The Science of Realization,Sri.B. Srinvasacharyulu,Advaita,,Telugu,E4,3287(4th Copy),"Bhakti Vedanta Book Trust, Hyderabad",NA,ADV-BS,,1044,,
Atma Sakshatkaar Sastram,The Science of Realization,Sri.B. Srinvasacharyulu,Advaita,,Telugu,E4,3954(5th Copy),"Bhakti Vedanta Book Trust, Hyderabad",2010,ADV- BS,,1045,,
Atma Tativa Vivekam,NIL,Dr.Vijayagopala Rao,Advaita,,Telugu,NA I-6,NA,TTD,1988,ADV-,,1046,,
Atma Vidya Vilasamu,Atmananda Tarangamu,Sri Sundara Chaitanya Swami,Advaita,,Telugu,A5,236,"Sri Lakshmi Ganapati Binding Works,Kovvuru",1996,ADV- SCSw,,1047,,
Atmaa Bodha,Self Knowledge of Sri Sankaracharya,Swami Nikhilananda,Advaita,,English,5,2562,"Sri Ramakrishna Matt, Mylapore, Madras",1962,ADV-SwN,,1048,,
Atmaa Bodha,Self Knowledge,Swami Nikhilananda,Advaita,,Sanksrit & English,5,602,"Sri Ramakrishna Matt, Mylapore, Madras",1947,ADV-PSM,,1049,,
Atmaa Sakshatkaraniki,Shodasha Yogalu,Prof. P. Shyamsundara Murthy,Advaita,,Telugu,NA(J5),74,"Sri Ramakrishna Matt,Mylapore, Madras",1999,ADV-,,1050,81-7120-858-4,
Atmaanu Bhuti,3rd Pushya,Sri Vilasananda ji Maharaj,Advaita,,Hindi,5,433,"Vedanta Mandir Prabhanda Samithi, Delhi, Agra",2001,ADV- Vilas,,1051,,
Atmaanu Bhuti,4th Pushya,Sri Vilasananda ji Maharaj,Advaita,,Hindi,5,NA (2nd Copy),"Vedanta Mandir Prabhanda Samithi, Delhi, Agra",2003,ADV- Vilas,,1052,,
Atmaanu Bhuti,4th Pushya,Sri Vilasananda ji Maharaj,Advaita,,Hindi,5,434 (3rd Copy),"Vedanta Mandir Prabhanda Samithi, Delhi, Agra",2003,ADV- Vilas,,1053,,
AtmaDarshani,Nil,Karra Suryakanta,Advaita,,Telugu,RRB2,2759,Aham Bramasmi St Vijayavada,2002,ADV-KS,,1054,,
Atmanubhutirasayanam,,Nochur Venkataraman,Advaita,,Sanskrit,,,"Sri Ramanasramam, Tiruvannamalai",2017,ADV- NVR,,1055,,
Atmanusandhanamu,NA,Sri vidya Prakashanandagiri Swami,Advaita,,Telugu,A5,2074,Sri Sukrabrahmasramulu,1989,ADV- VPSw,,1056,,
Avadhuta Gita,of Dattatreya,Swami Ashokananda,Advaita,,English,G3,2509,"Sri Ramakrishna Mutt, Madras",1988,ADV- SwA,,1057,,
Avadhuta Gita of Dattatreya,,Swami Chetanananda,Advaita,,English,,1646,"Advaita Ashrama, Himalayas",1984,ADV- Da Av,,1058,,
Avaduta Gita,NIL,Tyagaraya Shetty,Advaita,,Telugu,6,1238,"Raja-Rajeshwari Niketana Press, Madras",1906,ADV-TS,,1059,,
Bajagovindam Mudamate,Nil,ptem Siddarta,Advaita,,Telugu,RRB2,3490,siddarda Pabliceshans,2008,ADV-,,1060,,
Bhagawatpadabhyudayam,NIL,Mahamahopadhyaya Lakshmana Suri,Advaita,,Sanskrit,3,747,"""The Vavilla Press"",  Madras",1927,ADV- MLS,,1061,,
Bhaja Govindam,Adi Shankaracharya,K.C.Subhash,Advaita,,English,na,3360,"Ramana Kendra, Delhi",2002,ADV- KCS,,1062,,
Bhaja Govindam,,M.Bhimsen Rao,Advaita,,English,na,2863,"M.Bhimsen Rao, Bherampur",2004,ADV- MBR,,1063,,
Bhaja Govindam,,M.Bhimsen Rao,Advaita,,English,na,3153,"M.Bhimsen Rao, Bherampur",2004,ADV- MBR,,1064,,
Bhaja Govindam,NIL,Dr.G.Gopala Kishan Gupta ,Advaita,,Telugu,NA,4048,"Geeta Press, Gorakhpur",2014,ADV- GGKG,,1065,,
Bhaja Govindam,Sri Nana-gari-Anugrah-Bhashanamulu,K.V. Ramana,Advaita,,Telugu,F6 (Temporary Shelf),NA,"Sri Ramana Kendram, Jinnuru",2020,ADV- KVR,,1066,,
Bhaja Govindam Mudamate,Nil,ptem Siddarta,Advaita,,Telugu,RRB2,3490,siddarda Pabliceshans,2008,ADV-PS,,1067,,
Bhaja-Govindam,Waves of Discourses,VSR Murthy,Advaita,,Telugu,D6,4275,"VSR Foundation, Hyderabad",2016,ADV- VSRM,,1068,,
Bhajagovinda Stotram,Meaning Sahitam,Swami Gynadananda ,Advaita,,Telugu,NA(I5),NIL,"Sri Ramakrishna Matt, Domalguda, Hyderabad",NA,ADV- SwGy,,1069,,
Bhajagovindam,Srimad shankara Bhagavadvpadulu,Commentary Swami Chinmayananda,Advaita,,Telugu,A5,250,Kamarajugadda Ramachandrarao,1976,ADV- SC,,1070,,
Bharatam Dharmadvaitam,NA,Dr. Mopidevi Krishnaswamy,Advaita,,Telugu,A2,3231,"Universal Humanitarian Ed Trust, Hyd",1984,ADV- MKS,,1071,,
